YEAR,AVG CONTENT,AVG INFLOW,AVG OUTFLOW
2022,8918788,11329,11977
2021,9532500,11976,12625
2020,10758113,12253,12069
2014,10940605,10346,13049
2013,12705639,12055,12848
2012,13798396,12538,12929
2011,12077029,20397,12716
2010,10759249,11229,13042
2009,11489247,12930,13003
2008,12464762,13487,13130
2007,13137092,12132,13186
2006,14530987,12532,12790
2005,15381733,12925,11431
2004,14541211,12727,12872
2003,16037336,12426,12958
2002,18037362,11673,14423
2001,20935774,12139,14080
2000,23549259,12778,14726
1999,24459931,17531,15240
1998,24962488,18126,17647
1997,23353750,22056,16146
1996,21773677,15740,13721
1995,20465295,15316,11806
1994,20440385,11824,12921
1993,21305262,13038,10277
1992,19669765,12344,10782
1991,19546578,12722,12369
1990,20642485,11878,12713
1989,22046641,11312,12659
1988,23590757,10840,12984
1987,24222482,15990,15661
1986,23885504,25761,24238
1985,24360003,23744,23796
1984,24316385,28052,29494
1983,25155329,24048,23450
1982,22896279,12434,10302
1981,22517871,10832,11442
1980,23299456,15569,15274
1979,22552610,11261,10664
1978,20967211,12459,10327
1977,20509140,10186,10873
1976,20314716,12893,10919
1975,19823841,12385,11556
1974,19364614,12247,12059
1973,20188559,12568,11467
1972,17460967,12865,11157
1971,16708800,12762,11251
1970,16673915,11259,11076
1969,15785225,12310,10905
1968,14904418,12108,10812
1967,14644063,10470,10987
1966,15361633,10667,10746
1965,13377173,16025,10802
1964,13303880,4411,11238
1963,19549792,1202,11803
