YEAR,AVG ELEVATION,AVG INFLOW,AVG OUTFLOW
2022,1066.44,11329,11977
2021,1074.01,11976,12625
2020,1088.78,12253,12069
2014,1090.76,10346,13049
2013,1110.9,12055,12848
2012,1121.91,12538,12929
2011,1106.12,20397,12716
2010,1091.56,11229,13042
2009,1099.72,12930,13003
2008,1109.64,13487,13130
2007,1118,12132,13186
2006,1131.66,12532,12790
2005,1139.87,12925,11431
2004,1131.76,12727,12872
2003,1145.93,12426,12958
2002,1163.17,11673,14423
2001,1185.78,12139,14080
2000,1204.22,12778,14726
1999,1210.41,17531,15240
1998,1213.71,18126,17647
1997,1202.93,22056,16146
1996,1191.98,15740,13721
1995,1182.4,15316,11806
1994,1182.18,11824,12921
1993,1188.59,13038,10277
1992,1176.39,12344,10782
1991,1175.43,12722,12369
1990,1183.69,11878,12713
